Code,Gr,lieu,DESCR,Jour,Hr deb,Hr fin,Date deb,Date fin,NB_Seance,Coordonné par,"Age 
min","Age 
max","Insc. 
Max",POST_COMPT, coût ,NO_GRIL,ANNLULATION,Réservation,
ETOILE,01,PIS-AB,Étoile de mer (AB - Di 9h),Dimanche,9:00,9:25,2020-01-12,2020-03-15,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,Date pour calcul: 6 juillet 2019
ETOILE,02,PIS-AB,Étoile de mer (AB - Di 9h30),Dimanche,9:30,9:55,2020-01-12,2020-03-15,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,Date pour calcul: 6 juillet 2019
ETOILE,03,PIS-AB,Étoile de mer (AB - Di 11h),Dimanche,11:00,11:25,2020-01-12,2020-03-15,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,Date pour calcul: 6 juillet 2019
ETOILE,04,PIS-AB,Étoile de mer (AB - Me - 18h),Mercredi,18:00,18:25,2020-01-08,2020-03-11,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,Date pour calcul: 6 juillet 2019
ETOILE,05,PIS-AB,Étoile de mer (AB - Sa - 9h30),Samedi,9:30,9:55,2020-01-11,2020-03-14,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,Date pour calcul: 6 juillet 2019
ETOILE,51,PIS-LT,Étoile de mer (LT - Di - 10h),Dimanche,10:00,10:25,2020-01-12,2020-03-22,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,"Sunday, February 2, 2020",,Date pour calcul: 6 juillet 2019
CANARD,01,PIS-AB,Canard (AB - Di - 9h30),Dimanche,9:30,9:55,2020-01-12,2020-03-15,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
CANARD,02,PIS-AB,Canard (AB - Di - 10h30),Dimanche,10:30,10:55,2020-01-12,2020-03-15,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
CANARD,03,PIS-AB,Canard (AB - Di - 11h30),Dimanche,11:30,11:55,2020-01-12,2020-03-15,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
CANARD,04,PIS-AB,Canard (AB - Sa - 8h30),Samedi,8:30,8:55,2020-01-11,2020-03-14,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
CANARD,05,PIS-AB,Canard (AB - Sa - 11h30),Samedi,11:30,11:55,2020-01-11,2020-03-14,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
CANARD,51,PIS-LT,Canard (LT - Di - 10h30),Dimanche,10:30,10:55,2020-01-12,2020-03-22,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,"Sunday, February 2, 2020",,
CANARD,52,PIS-LT,Canard (LT - Di - 12h35),Dimanche,12:35,13:00,2020-01-12,2020-03-22,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,"Sunday, February 2, 2020",,
CANARD,53,PIS-LT,Canard (LT - Sa - 9h),Samedi,9:00,9:25,2020-01-11,2020-03-21,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,1er février 2020,,
CANARD,54,PIS-LT,Canard (LT - Sa - 9h30),Samedi,9:30,9:55,2020-01-11,2020-03-21,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,1er février 2020,,
CANARD,55,PIS-LT,Canard (LT - Sa - 11h),Samedi,11:00,11:25,2020-01-11,2020-03-21,10,J. Gauvin,1,2,10,2-01-234-96-414, 61.50  $ ,A-ENF,1er février 2020,,
TORTUE,01,PIS-AB,Tortue de mer (AB - Di - 8h30),Dimanche,8:30,8:55,2020-01-12,2020-03-15,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,02,PIS-AB,Tortue de mer (AB - Di - 10h),Dimanche,10:00,10:25,2020-01-12,2020-03-15,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,03,PIS-AB,Tortue de mer (AB - Di - 12h),Dimanche,12:00,12:25,2020-01-12,2020-03-15,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,04,PIS-AB,Tortue de mer (AB - Di - 13h),Dimanche,13:00,13:25,2020-01-12,2020-03-15,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,05,PIS-AB,Tortue de mer (AB - Me - 18h30),Mercredi,18:30,18:55,2020-01-08,2020-03-11,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,06,PIS-AB,Tortue de mer (AB - Me - 19h),Mercredi,19:00,19:25,2020-01-08,2020-03-11,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,07,PIS-AB,Tortue de mer (AB - Sa - 9h),Samedi,9:00,9:25,2020-01-11,2020-03-14,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,08,PIS-AB,Tortue de mer (AB - Sa - 10h),Samedi,10:00,10:25,2020-01-11,2020-03-14,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,09,PIS-AB,Tortue de mer (AB - Sa - 10h30),Samedi,10:30,10:55,2020-01-11,2020-03-14,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,51,PIS-LT,Tortue de mer (LT - Di - 8h30),Dimanche,8:30,8:55,2020-01-12,2020-03-22,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,"Sunday, February 2, 2020",,
TORTUE,52,PIS-LT,Tortue de mer (LT - Di - 9h),Dimanche,9:00,9:25,2020-01-12,2020-03-22,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,"Sunday, February 2, 2020",,
TORTUE,53,PIS-LT,Tortue de mer (LT - Di - 13h05,Dimanche,13:05,13:30,2020-01-12,2020-03-22,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,"Sunday, February 2, 2020",,
TORTUE,54,PIS-LT,Tortue de mer (LT - Lu - 18h30),Lundi,18:30,18:55,2020-01-06,2020-03-09,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,,,
TORTUE,55,PIS-LT,Tortue de mer (LT - Sa - 8h30),Samedi,8:30,8:55,2020-01-11,2020-03-21,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,1er février 2020,,
TORTUE,56,PIS-LT,Tortue de mer (LT - Sa - 11h30),Samedi,11:30,11:55,2020-01-11,2020-03-21,10,J. Gauvin,2,3,10,2-01-234-96-414, 61.50  $ ,A-ENF,1er février 2020,,
LOUTRE,01,PIS-AB,Loutre de mer (AB - Di - 8h30),Dimanche,8:30,8:55,2020-01-12,2020-03-15,10,J. Gauvin,3,5,6,2-01-234-96-414, 61.50  $ ,A-ENF,,,
LOUTRE,02,PIS-AB,Loutre de mer (AB - Di - 9h30),Dimanche,9:30,9:55,2020-01-12,2020-03-15,10,J. Gauvin,3,5,6,2-01-234-96-414, 61.50  $ ,A-ENF,,,
LOUTRE,03,PIS-AB,Loutre de mer (AB - Di - 11h),Dimanche,11:00,11:25,2020-01-12,2020-03-15,10,J. Gauvin,3,5,6,2-01-234-96-414, 61.50  $ ,A-ENF,,,
LOUTRE,04,PIS-AB,Loutre de mer (AB - Di - 12h),Dimanche,12:00,12:25,2020-01-12,2020-03-15,10,J. Gauvin,3,5,6,2-01-234-96-414, 61.50  $ ,A-ENF,,,
LOUTRE,05,PIS-AB,Loutre de mer (AB - Di - 12h30),Dimanche,12:30,12:55,2020-01-12,2020-03-15,10,J. Gauvin,3,5,6,2-01-234-96-414, 61.50  $ ,A-ENF,,,
LOUTRE,06,PIS-AB,Loutre de mer (AB - Ma - 18h30),Mardi,18:30,18:55,2020-01-07,2020-03-10,10,J. Gauvin,3,5,6,2-01-234-96-414, 61.50  $ ,A-ENF,,,
LOUTRE,07,PIS-AB,Loutre de mer (AB - Je - 18h),Jeudi,18:00,18:25,2020-01-09,2020-03-12,10,J. Gauvin,3,5,6,2-01-234-96-414, 61.50  $ ,A-ENF,,,
LOUTRE,08,PIS-AB,Loutre de mer (AB - Je - 18h30),Jeudi,18:30,18:55,2020-01-09,2020-03-12,10,J. Gauvin,3,5,6,2-01-234-96-414, 61.50  $ ,A-ENF,,,
